6,6,9,17,17,17,17,17,17,17,17,6,10,17,17
17,17,17,17,17,17,17,0,17,17,17,17,17,17,17
17,17,17,17,17,16,15,12,17,17,17,17,3,0,17
0,17,17,16,16,16,16,15,12,17,17,17,17,17,17
4,14,14,13,16,12,12,12,15,6,10,17,17,17,17
17,16,13,16,16,16,16,16,17,17,17,17,0,17,17
17,17,16,16,14,14,16,17,17,17,0,17,17,17,17
17,17,0,17,17,17,17,17,17,17,17,17,17,17,0
17,17,17,17,17,17,17,0,17,17,17,17,0,0,3
17,17,17,17,6,17,17,17,17,17,17,17,17,17,17
0,0,3,17,17,17,17,17,17,17,9,6,6,17,17
17,17,17,17,17,0,4,17,17,0,17,17,17,17,17
