12,12,12,16,16,16,16,16,16,16,16,16,16,12,16
17,16,16,16,16,16,16,13,12,14,16,16,12,16,16
11,17,17,13,13,16,16,16,16,16,16,16,16,12,12
17,9,17,17,16,16,16,17,17,17,17,16,16,16,16
17,17,17,17,14,16,17,17,9,17,6,17,13,13,16
17,17,17,17,16,16,3,17,17,17,17,17,17,16,16
17,6,17,16,16,16,17,17,11,17,17,9,16,16,16
3,17,9,16,16,14,16,16,0,17,17,17,16,16,16
17,17,16,16,16,16,16,14,16,16,16,16,12,13,16
17,17,16,16,13,16,16,16,14,16,16,16,16,16,0
0,12,12,16,17,17,17,17,17,17,11,17,17,17,9
16,12,16,17,0,17,9,17,17,17,6,17,17,17,17
