16,16,16,16,16,16,14,16,16,16,16,14,16,16,16
15,13,17,17,4,17,8,16,16,17,11,14,16,16,13
16,17,17,0,17,17,17,16,13,17,17,3,17,16,16
16,9,17,17,14,13,16,16,16,17,17,17,17,17,16
16,1,17,16,14,16,16,16,17,17,17,17,0,17,16
16,16,13,16,16,17,17,17,5,17,17,17,17,17,16
14,16,16,16,17,17,17,17,17,1,17,17,17,17,13
16,9,17,17,17,0,17,17,17,17,17,17,11,17,16
16,16,17,17,17,11,17,17,17,17,17,17,17,16,14
16,16,17,17,2,17,17,17,17,3,7,6,16,16,16
15,15,15,17,17,17,10,17,17,17,16,16,15,13,16
14,16,16,16,16,16,14,16,16,16,16,13,16,16,16
