3,17,17,0,16,13,17,17,17,17,0,17,17,17,6
0,17,17,16,16,16,17,17,17,17,17,17,17,6,10
17,17,17,16,16,12,17,3,0,17,17,17,17,17,17
17,17,6,16,12,0,17,17,17,17,17,17,17,17,17
17,17,17,12,15,17,17,17,17,17,17,17,17,0,17
17,17,17,16,12,16,17,17,17,17,17,0,17,3,0
4,0,17,17,16,16,16,17,6,17,17,17,17,17,17
0,17,17,17,17,16,14,17,17,17,17,17,17,17,17
17,17,17,17,16,14,16,17,17,4,0,17,17,17,17
17,17,17,15,16,16,17,17,17,17,17,17,17,17,0
10,6,9,16,15,17,17,17,17,17,17,17,10,6,17
17,17,17,15,16,0,17,17,17,0,17,17,17,17,17
